"Item No",Name,Description,"Location Found",Image,Founder,"Date Found","Claimed By","Date Claimed","Released By",Status
2,rqerqwr,asdsdf,qwerqwerqewr,Cute-Cat.jpg,qqwer,2024-09-08,,,,surrendered
3,"Pusa type",Nothing,"Near NU",1000000204.jpg,Brent,2024-09-01,,,,surrendered
4,"Pusa type",Nothing,"Near NU",1000000204.jpg,Brent,2024-09-01,,,,surrendered
5,"Pusa type",Nothing,"Near NU",1000000204.jpg,Brent,2024-09-01,,,,surrendered
6,"Pusa type",Nothing,"Near NU",1000000204.jpg,Brent,2024-09-01,,,,surrendered
7,"Pusa type",Nothing,"Near NU",1000000204.jpg,Brent,2024-09-01,,,,surrendered
8,"Pusa type",Nothing,"Near NU",1000000204.jpg,Brent,2024-09-01,,,,surrendered
9,"Pusa type",Nothing,"Near NU",1000000204.jpg,Brent,2024-09-01,,,,surrendered
10,"Pusa type",Nothing,"Near NU",1000000204.jpg,Brent,2024-09-01,,,,surrendered
11,"Pusa type",Nothing,"Near NU",1000000204.jpg,Brent,2024-09-01,,,,surrendered
12,"Pusa type",Nothing,"Near NU",1000000204.jpg,Brent,2024-09-01,,,,surrendered
13,"Pusa type",Nothing,"Near NU",1000000204.jpg,Brent,2024-09-01,,,,surrendered
14,Cat,Red,"Near Cr ng boys",Cute-Cat-removebg-preview.png,Red,2024-09-07,,,,surrendered
15,Cat,Red,"Near Cr ng boys",Cute-Cat-removebg-preview.png,Red,2024-09-07,,,,surrendered
16,Cat,Red,"Near Cr ng boys",Cute-Cat-removebg-preview.png,Red,2024-09-07,,,,surrendered
17,Cat,Red,"Near Cr ng boys",Cute-Cat-removebg-preview.png,Red,2024-09-07,,,,surrendered
18,Cat,Red,"Near Cr ng boys",Cute-Cat-removebg-preview.png,Red,2024-09-07,,,,surrendered
19,Cat,Red,"Near Cr ng boys",Cute-Cat-removebg-preview.png,Red,2024-09-07,,,,surrendered
20,Cat,Red,"Near Cr ng boys",Cute-Cat-removebg-preview.png,Red,2024-09-07,,,,surrendered
21,Cat,Red,"Near Cr ng boys",Cute-Cat-removebg-preview.png,Red,2024-09-07,,,,surrendered
22,Cat,Red,"Near Cr ng boys",Cute-Cat-removebg-preview.png,Red,2024-09-07,,,,surrendered
23,Cat,Red,"Near Cr ng boys",Cute-Cat-removebg-preview.png,Red,2024-09-07,,,,surrendered
24,Cat,Red,"Near Cr ng boys",Cute-Cat-removebg-preview.png,Red,2024-09-07,,,,surrendered
25,Cat,Red,"Near Cr ng boys",Cute-Cat-removebg-preview.png,Red,2024-09-07,,,,surrendered
26,Cat,Red,"Near Cr ng boys",Cute-Cat-removebg-preview.png,Red,2024-09-07,,,,surrendered
27,Cat,Red,"Near Cr ng boys",Cute-Cat-removebg-preview.png,Red,2024-09-07,,,,surrendered
28,Cat,Red,"Near Cr ng boys",Cute-Cat-removebg-preview.png,Red,2024-09-07,,,,surrendered
29,Cat,Red,"Near Cr ng boys",Cute-Cat-removebg-preview.png,Red,2024-09-07,,,,surrendered
31,Cat,Red,"Near Cr ng boys",Cute-Cat-removebg-preview.png,Red,2024-09-07,,,,surrendered
32,Cat,Red,"Near Cr ng boys",Cute-Cat-removebg-preview.png,Red,2024-09-07,,,,surrendered
33,Cat,Red,"Near Cr ng boys",Cute-Cat-removebg-preview.png,Red,2024-09-07,,,,surrendered
34,Cat,Red,"Near Cr ng boys",Cute-Cat-removebg-preview.png,Red,2024-09-07,,,,surrendered
1,tractor,red,"near on the second floor",Screen-Shot-2021-10-13-at-11.07.12-AM.png,Jacob,2024-08-30,"Jerome Gilfred",2024-08-26,1,claimed
30,Cat,Red,"Near Cr ng boys",Cute-Cat-removebg-preview.png,Red,2024-09-07,Red,2024-09-09,1,claimed
